Wallet,Amount
0x733a4e5E23E03b64Bb635867c3b031865D08E930,69696969696969000000000000000
0x8912800b3e539287a0e72d5b6b97486b257d5dbe,44194870674660000000000000000
0xebe8b348a3fe6b61dd2c95a88fae9565fd14c487,13884746111740000000000000000
0xd66f41b125b72f8c04b8b58298114ee5fa84809e,12247857308320000000000000000
0x30fef5dee96598b34a11af12d9e75306a4539f45,10294608339800000000000000000
0x12cabe87a6cb44c7dc87b0972f178e888e7c1ad4,8234820126730000000000000000
0xa6ec6dc7abc40baa42fb2c5d31a7ac4b1c13558e,7156331880370000000000000000
0xfda8123c1527678bb14b861086f602941412c2a8,6830169141920000000000000000
0xe649a8795f39ce7d631889a8c351563b552be776,6645892862810000000000000000
0xe9ba0ffb08e0e45ec04115590b172b80f053fbaa,5823477374280000000000000000
0x66fb3437010ff94cb42f2dabd72c4c3e54febc19,5711385130570000000000000000
0x7431764769f2fb9e9db1ae2bf1917d97fad8febc,5657148838260000000000000000
0xe9830e79ca42a81ca98674d5e97b2340e3598553,5063604522070000000000000000
0x58ca4a724f20ddff3430f2996e65a5fdad248b4d,4474888069290000000000000000
0xd3a5dc4ccf2c6f2f82864079e2ad6a9e93234d02,4374389550090000000000000000
0xf332cd0ee6deb7223ef3bd705659c10388c705eb,4319710266660000000000000000
0xcca6875e2fe61c3818c05dfe4ea26f0f8a6d5930,4073396984720000000000000000
0x8cf7abdbb7b9b22a1330aed34b0d6cbcac97e802,3826641804220000000000000000
0x3c683486f40dc797dba01652adf960c59275865d,3615921278670000000000000000
0x1e5d3b04483163d8a4fee92fbd01d837d7bd69c9,3410801526730000000000000000
0x97819beb3d0dca621aaa1c8a02ee89438d963df2,3338473185690000000000000000
0xcb8a3a5d3cb94622e9996d17b2cb0adc5450b6af,3326645303420000000000000000
0x549630b99e303e6164d03ecf96718c8e7e4fa4ba,3308346942570000000000000000
0xd39abba75900b4bcbe67926f65943cff6bc2f66d,3149131592650000000000000000
0x75ff2c87f2c0c5ffa6c37c27be2b34837b98212c,3095439773670000000000000000
0xd6d972da43693a3e1e092d4dad8bac46ac92942f,2984985493590000000000000000
0xb50004602d48a02285b7be25524dc748fa85f1ea,2898682105270000000000000000
0xeae7f59e6185fabfaafaf0680549ffe563d885c2,2790173325190000000000000000
0x481bda79c93c821b5445ebaa11c49b91fcca580d,2778443435270000000000000000
